depress_list
caligin
cheerless
cloudi
comfortless
crepuscular
dark
depress
dim
dingi
dismal
drab
dreari
frowzi
funer
grey
ill
joyless
leaden
murki
overcast
poor
shadowi
sombr
stygian
sunless
tartarean
tenebr
uninvit
unwelcom
